"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 310, 12, 393
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.scss", "SCSS", 0, 0, 0, 1061, 0, 0, 0, 0, 44, 68, 1173
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.spec.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 1, 6, 42
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 9, 92
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 0, 10, 9, 86
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.scss", "SCSS", 0, 0, 0, 1049, 0, 0, 0, 0, 20, 64, 1133
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 7, 79
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-routing.module.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.html", "HTML", 0, 0, 0, 0, 301, 0, 0, 0, 2, 12, 315
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.scss", "SCSS", 0, 0, 0, 644, 0, 0, 0, 0, 10, 16, 670
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.ts", "TypeScript", 0, 0, 338, 0, 0, 0, 0, 0, 0, 38, 376
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\change-password\change-password.component.html", "HTML", 0, 0, 0, 0, 232, 0, 0, 0, 0, 5, 237
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\change-password\change-password.component.scss", "SCSS", 0, 0, 0, 372, 0, 0, 0, 0, 2, 6, 380
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\change-password\change-password.component.ts", "TypeScript", 0, 0, 127, 0, 0, 0, 0, 0, 0, 10, 137
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
